,Gender,Military,Ethnicity
818,Male,Y,White
819,Female,N,White
820,Female,N,Non Resident Alien
821,Female,N,Two or More Races
822,Female,N,White
823,Female,Y,White
824,Male,N,Black or African American
825,Female,N,Asian
826,Female,N,Two or More Races
827,Female,N,Black or African American
828,Female,N,Hispanic/Latino
829,Male,Y,White
830,Female,N,Hispanic/Latino
831,Female,N,White
832,Female,N,White
833,Female,N,White
834,Female,N,Hispanic/Latino
835,Male,N,White
836,Female,N,Hispanic/Latino
837,Female,Y,Black or African American
838,Female,N,White
839,Female,N,Two or More Races
840,Female,N,Asian
841,Female,N,White
842,Female,N,American Indian/Alaska Native
843,Female,N,White
844,Female,N,White
845,Female,N,Black or African American
846,Female,N,Hispanic/Latino
847,Female,N,White
848,Female,N,Black or African American
849,Male,N,White
850,Female,N,White
851,Female,N,
852,Male,N,White
853,Male,N,
854,Female,N,
855,Female,N,White
856,Female,N,White
857,Male,N,White
858,Male,N,White
859,Female,N,
860,Female,N,
861,Male,N,
862,Female,N,White
863,Female,N,Black or African American
864,Female,N,Hispanic/Latino
865,Female,N,White
866,Male,Y,White
867,Female,N,Hispanic/Latino
868,Female,N,Asian
869,Female,Y,White
870,Male,N,White
871,Female,N,
872,Male,N,Black or African American
873,Female,N,White
874,Female,N,White
875,Male,Y,White
876,Female,N,White
877,Female,N,White
878,Male,N,White
879,Female,N,White
880,Female,N,White
881,Male,N,White
882,Female,N,White
883,Female,N,White
884,Male,Y,White
885,Female,N,White
886,Female,N,White
887,Female,N,Hispanic/Latino
888,Female,N,White
889,Female,N,Hispanic/Latino
890,Female,N,Hispanic/Latino
891,Female,N,Non Resident Alien
892,Female,N,Hispanic/Latino
893,Male,N,Hispanic/Latino
894,Male,N,White
895,Male,Y,Hispanic/Latino
896,Female,N,Not Available
897,Female,N,Two or More Races
898,Female,N,White
899,Female,N,Asian
900,Female,N,White
901,Female,N,White
902,Male,N,White
903,Female,N,Asian
904,Female,N,Asian
905,Female,N,White
906,Female,N,Hispanic/Latino
907,Female,N,Hispanic/Latino
908,Male,N,White
909,Female,N,White
910,Male,N,White
911,Male,N,White
912,Male,N,White
913,Female,N,White
914,Male,N,Asian
915,Female,N,White
916,Female,N,Black or African American
917,Female,N,Hispanic/Latino
918,Male,N,White
919,Female,N,White
920,Male,N,White
921,Male,N,Hispanic/Latino
922,Female,N,White
923,Female,N,White
924,Male,N,Asian
925,Female,N,Black or African American
926,Female,N,Black or African American
927,Male,N,Not Available
928,Female,N,White
929,Female,N,White
930,Female,N,White
931,Female,N,White
932,Female,Y,White
933,Female,N,Not Available
934,Female,N,White
935,Male,N,Asian
936,Female,N,White
937,Female,N,Hispanic/Latino
938,Male,N,American Indian/Alaska Native
939,Female,N,White
940,Female,N,Hispanic/Latino
941,Female,N,White
942,Male,Y,White
943,Male,N,Hispanic/Latino
944,Female,N,White
945,Male,N,White
946,Female,Y,Two or More Races
947,Female,N,White
948,Female,N,Hispanic/Latino
949,Female,N,White
950,Female,N,White
951,Female,N,White
952,Female,N,Hispanic/Latino
953,Female,N,White
954,Male,N,White
955,Male,N,White
956,Female,N,White
957,Female,N,White
958,Female,N,White
959,Female,N,White
960,Female,N,White
961,Male,N,Black or African American
962,Female,N,White
963,Female,N,White
964,Female,N,White
965,Female,N,Black or African American
966,Female,N,Black or African American
967,Female,N,Black or African American
968,Female,N,White
969,Female,N,Hispanic/Latino
970,Female,N,White
971,Male,N,White
972,Male,N,Hispanic/Latino
973,Female,N,White
974,Female,N,White
975,Male,N,Hispanic/Latino
976,Male,N,White
977,Female,N,White
978,Female,N,White
979,Male,N,White
980,Female,N,White
981,Female,Y,White
982,Female,Y,Two or More Races
983,Female,N,White
